dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672534800,2023-01-01 01:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,7.24,,5.87,6.5,4.58,11.63,1023,,,91,1.5,190,3.1,,,,,28,802,Clouds,scattered clouds,03n
1672538400,2023-01-01 02:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,6.75,,5.54,6.15,3.87,11.8,1023,,,92,1.34,169,2.24,,,,,48,802,Clouds,scattered clouds,03n
1672542000,2023-01-01 03:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,5.61,1300.0,4.57,3.85,3.62,11.63,1023,,,93,2.24,184,4.47,,,,,40,701,Mist,mist,50n
1672545600,2023-01-01 04:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,5.91,400.0,4.87,5.91,2.95,10.64,1024,,,93,0.51,0,,,,,,100,741,Fog,fog,50n
1672549200,2023-01-01 05:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,6.18,,4.98,6.18,3.07,10.55,1024,,,92,1.0,160,1.5,,,,,5,800,Clear,sky is clear,01n
1672531200,2023-01-01 00:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,6.81,450.0,5.45,6.01,3.96,12.05,1023,,,91,1.5,160,4.6,,,,,100,804,Clouds,overcast clouds,04n
1672552800,2023-01-01 06:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,6.38,,5.18,5.52,3.48,10.7,1023,,,92,1.5,200,5.1,,,,,1,800,Clear,sky is clear,01n
1672556400,2023-01-01 07:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,5.64,,4.29,4.33,3.28,10.25,1023,,,91,1.79,68,2.24,,,,,2,800,Clear,sky is clear,01n
1672560000,2023-01-01 08:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,5.52,,4.48,5.52,3.47,10.52,1024,,,93,1.0,70,1.5,0.25,,,,58,500,Rain,light rain,10d
1672563600,2023-01-01 09:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,7.67,,5.14,6.99,4.07,11.07,1024,,,84,1.5,90,3.1,,,,,48,802,Clouds,scattered clouds,03d
1672567200,2023-01-01 10:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,8.77,,6.39,8.25,5.73,13.0,1025,,,85,1.5,200,2.6,,,,,41,802,Clouds,scattered clouds,03d
1672570800,2023-01-01 11:00:00 +0000 UTC,3600,Bern,46.947974,7.447447,10.55,,7.43,9.78,9.13,12.66,1024,,,81,1.34,96,2.68,,,,,21,801,Clouds,few clouds,02d
